Symbol,ClosingPrice,Company Name
55503,140.1,TATASTEEL24JANFUT
55514,598.9,UPL24JANFUT
55478,282.95,RBLBANK24JANFUT
55420,131.5,IOC24JANFUT
55404,538.3,ICICIPRULI24JANFUT
55504,3791.85,TCS24JANFUT
55508,2338.65,TORNTPHARM24JANFUT
55452,140.05,NATIONALUM24JANFUT
55458,27358.05,NESTLEIND24JANFUT
55433,3459.4,LT24JANFUT
55482,779,SBICARD24JANFUT
55487,28244.5,SHREECEM24JANFUT
55449,2674.9,MPHASIS24JANFUT
55382,895.4,GLENMARK24JANFUT
55471,3502.95,PIIND24JANFUT
55516,997.75,VOLTAS24JANFUT
55481,123.7,SAIL24JANFUT
55477,1026,RAMCOCEM24JANFUT
55421,1120.8,IPCALAB24JANFUT
55494,710.65,SUNTV24JANFUT
55495,725.15,SYNGENE24JANFUT
55434,6167.1,LTIM24JANFUT
55500,332.2,TATAPOWER24JANFUT
55464,39386.85,PAGEIND24JANFUT
55423,472.9,ITC24JANFUT
55483,1445.5,SBILIFE24JANFUT
55446,1225.05,MGL24JANFUT
55511,1978.1,TVSMOTOR24JANFUT
55489,4064.35,SIEMENS24JANFUT
